Array Size, Qty operations, method
133,12777,Bubblesort
133,8424,Insertionsort
133,2676,Heapsort
133,2612,Mergesort
133,1430,Quicksort
133,531,Radixsort
134,13088,Bubblesort
134,8876,Insertionsort
134,2639,Heapsort
134,2624,Mergesort
134,1455,Quicksort
134,535,Radixsort
135,13370,Bubblesort
135,9262,Insertionsort
135,2660,Heapsort
135,2638,Mergesort
135,1384,Quicksort
135,539,Radixsort
136,13545,Bubblesort
136,9690,Insertionsort
136,2662,Heapsort
136,2652,Mergesort
136,1390,Quicksort
136,543,Radixsort
137,14215,Bubblesort
137,10390,Insertionsort
137,2683,Heapsort
137,2676,Mergesort
137,1489,Quicksort
137,547,Radixsort
138,14091,Bubblesort
138,9660,Insertionsort
138,2751,Heapsort
138,2688,Mergesort
138,1597,Quicksort
138,551,Radixsort
139,14371,Bubblesort
139,10206,Insertionsort
139,2769,Heapsort
139,2702,Mergesort
139,1846,Quicksort
139,555,Radixsort
140,14606,Bubblesort
140,10210,Insertionsort
140,2783,Heapsort
140,2716,Mergesort
140,1792,Quicksort
140,559,Radixsort
141,14681,Bubblesort
141,10674,Insertionsort
141,2807,Heapsort
141,2734,Mergesort
141,1383,Quicksort
141,563,Radixsort
142,15043,Bubblesort
142,10420,Insertionsort
142,2797,Heapsort
142,2748,Mergesort
142,1598,Quicksort
142,567,Radixsort
143,15278,Bubblesort
143,11028,Insertionsort
143,2854,Heapsort
143,2764,Mergesort
143,1449,Quicksort
143,571,Radixsort
144,15070,Bubblesort
144,10134,Insertionsort
144,2931,Heapsort
144,2780,Mergesort
144,1621,Quicksort
144,575,Radixsort
145,15555,Bubblesort
145,11050,Insertionsort
145,2889,Heapsort
145,2820,Mergesort
145,1817,Quicksort
145,579,Radixsort
146,15829,Bubblesort
146,11408,Insertionsort
146,2915,Heapsort
146,2832,Mergesort
146,1638,Quicksort
146,583,Radixsort
147,15901,Bubblesort
147,11254,Insertionsort
147,2891,Heapsort
147,2846,Mergesort
147,1856,Quicksort
147,587,Radixsort
148,15642,Bubblesort
148,10378,Insertionsort
148,2956,Heapsort
148,2860,Mergesort
148,1502,Quicksort
